Endpoint,HTTP Verb,Purpose,Example,JSON Request,JSON Response
/,GET,Base URL to check if webservice is up,http://localhost:5000 ,,"{""Message"":""Welcome to the Restaurant API V1.0.""}"
/restaurant,POST,Add a new restaurant to the Database and generate a Restaurant ID,http://localhost:5000/restaurant,"{""RNAME"":""Jack in the Box"",""ADDRESS"":""San Fransisco"",""PHONE"":""500-004-3003""}","{""Message"":""Restaurant with RID: 22 added to Table DB."",""RID"":22}"
/restaurant/:ID,GET,Get a Restaurant details using its Restaurant ID,http://localhost:5000/restaurant/22,,"{""RID"":""22"",""RNAME"":""Jack in the Box"",""ADDRESS"":""San Fransisco"",""PHONE"":""500-004-3003""}"
/menu,POST,Add a new menu to a restaurant and generate a Menu ID,"http://localhost:5000/menu
","{""MNAME"":""Dinner"",""MDETAILS"":""All dishes relating to dinner before 9:00PM are stored here"",""RID"":""22""}","{""Message"":""Menus with ID: 26 of Restaurant with RID: 22 added to Menus Table in DB."",""MID"":26,""RID"":""22""}"
/menu/:ID,GET,Get menus of a restaurant using its Menu ID,http://localhost:5000/menu/26,,"{""MID"":""26"",""MNAME"":""Dinner"",""MDETAILS"":""All dishes relating to dinner before 9:00PM are stored here"",""RID"":""22""}"
/menuItem,POST,Add a new menuitem to a menu of a restaurant and generate a MenuItem ID,http://localhost:5000/menuItem,"{""MITEMNAME"":""PrimeRib"",""MITEMDETAILS"":""Burger"",""MITEMPRICE"":4.95,""MID"":""1"",""RID"":""1""}","{""Message"":""MenuItem with ID: 6 of Restaurant with RID: 22 added to Menus Table in DB."",""MIID"":6,""MID"":""26"",""RID"":""22""}"
/menuItem/:ID,GET,Get menu items in a menu of a restaurant using its MenuItem ID,"http://localhost:5000/menuItem/6
",,"{""MIID"":""6"",""MITEMNAME"":""PrimeRib"",""MITEMDETAILS"":""Burger"",""MITEMPRICE"":""4.95"",""MID"":""26"",""RID"":""22""}"
/menuItem/:ID,DELETE,Delete menu items in a menu of a restaurant using its MenuItem ID,"http://localhost:5000/menuItem/6
",,"{""Message"":""MenuItem with ID:6 deleted from DB""}"
/menu/:ID,DELETE,Delete Menus of a restaurant using its Menu ID,http://localhost:5000/menu/26,,"{""Message"":""Menu with ID:26 deleted from DB""}"
/restaurant/:ID,DELETE,Delete a Restaurant and its details using its Restaurant  ID,http://localhost:5000/restaurant/22,,"{""Message"":""Restaurant with RID:22 deleted from DB"",""RID"":""22""}"
